addressId-street_segId,location
813644-11747,1100 BLK MONROE ST NE
904857-5265,NY & FLA AVE NE
299226-3659,3475 22 ST SE
803652-3272,100 HAWAII AVE NE
234780-7452,3500 14 ST NW
29606-734,3900 BENNING RD NE
284547-2573,300 ASPEN ST W/B NW
811302-9684,100 RHODE ISLAND AVE NE
279730-11841,400 7TH ST NW
246669-8584,W/B 500 MISSOURI AVE NW
47856-5914,2400 BLK ALABAMA AVE SE
907191-4837,GEORGIA AVE NW @ INGRAHAM ST NW
907804-5703,E CAPITOL W/B AT BENNING RD NE
900507-6106,8TH AND D ST NE
904886-5638,BLAIR & RIGGS RD NE
905944-8508,CANAL RD & CLARK PL NW
809249-7920,900 MONROE ST NE
900381-746,M ST NW @ 15TH ST NW
286775-13875,2300 GOOD HOPE RD SE
913909-8124,NEW YORK AVE NW @ NORTH CAPITOL ST*
901052-302,2ND & MASSACHUSETTS AVE NE
242349-6464,900 23RD ST NW
906719-2578,6TH & I ST NW
807626-6544,100 H ST NW
243334-,1700 BLK K ST NW
901610-1572,KANSAS AVE & JEFFERSON ST NW
284066-800,1700 BLK COLUMBIA ROAD NW
297790-7011,1500 BENNING RD NE
233021-10354,N/B 3300 GA AVE NW
904356-1794,GEORGIA AVE & MORTON ST NW
225986-3288,9 LOGAN CIR NW
286021-10010,1300 H ST NE
809325-7980,500 18TH ST NW
225652-8409,1516 10TH ST NW
906897-1829,L ST NW @ 16TH ST NW
302152-7688,1000 16TH ST NW
242552-,1900 K ST NW
900669-2076,GEORGIA AVE NW @ V ST NW
904696-2642,13TH & RANDOLPH ST NW
905429-5253,14TH ST & JEFFERSON DR SW
303524-5220,3800 SUITLAND RD SE
810541-9023,2500 LINCOLN RD NE
904426-4727,KANSAS AVE NW @ HAMILTON ST NW
905129-4297,CONNECTICUT AVE NW @ L ST NW
912878-2405,SCOTT CIR NW @ 16TH ST NW
905901-8342,W ST NW @ 12TH ST NW
811937-10241,4600 40TH ST NW
903503-1140,NEW YORK & H ST NW
903094-953,LONGFELLOW ST NW @ GEORGIA AVE NW
235103-8283,1800 CONNECTICUT AVE NW
223657-14565,4000 GEORGIA AVE NW
242324-3830,1500 MASSACHUSETTS AVE NW
814526-12520,1300 BRENTWOOD RD NE
806246-5368,3800 DAVIS PL NW
812420-10668,2300 POMEROY RD SE
905453-7162,OKIE ST NE @ FENWICK ST NE
237015-,1300 NORTH CAPITOL ST NW
235428-13270,1800 BLK BELMONT RD NW
240920-7830,1234 MASSACHUSETTS AVE NW
286705-47,2200 BLADENSBURG RD NE
814515-12512,3000 MARTIN LUTHER KING JR AVE SE *
911188-14105,WASHINGTON PL NE @ RHODE ISLAND AV*
816379-14658,1000 NEW YORK AVE NE
907466-3893,16TH ST NW @ H ST NW
805741-4923,4500 RESERVOIR RD NW
813081-11249,2700 LANGSTON PL SE
907176-5113,HUNT PL NE @ 42ND ST NE
286020-13136,1300 GOOD HOPE RD SE
900066-6455,14TH ST & CONSTITUTION AVE NE
905099-3769,ALABAMA & RIDGE RD SE
903882-2979,16TH ST NW @ UPSHUR ST NW
900954-209,9TH ST & U ST NW
150226-4586,2000 RHODE ISLAND AVE NE
806778-5813,300 17TH ST NW
901486-2264,E ST AT 12 ST NW
904396-4653,7TH ST NW @ L ST NW
149753-10388,1100 STEVENS RD SE
812459-10705,100 1ST ST NE
804059-3444,2300 AINGER PL SE
904274-738,NEW HAMPSHIRE AVE NE @ SOUTH DAKOT*
816432-15303,1200 ROCK CREEK FORD RD NW
906970-1240,13TH ST NW @ COLORADO AVE NW
901770-148,13TH ST NW @ LONGFELLOW ST NW
908297-1533,14TH & D STREET SW
803622-3245,200 22ND ST NW
811006-9440,2300 ALABAMA AVE SE
810588-9068,3300 4TH ST SE
295098-2783,730 7TH ST NW
242544-6569,2100 F ST NW
913400-14366,2ND ST NW @ D ST NW
907971-7510,H ST NE @ BLADENSBURG RD NE
802742-2122,2600 WOODLEY PL NW
901029-279,G ST NW @ 11TH ST NW
801443-1063,3100 11TH ST NW
218713-,649 NEW YORK AVE NW
905679-8498,16TH ST NW @ ARGONNE PL NW
913399-8415,2ND & D ST NW
913613-14172,S CAPITOL & POTOMAC AVE S/B SW
905428-1362,H ST NW @ 15TH ST NW
811305-9686,900 UPSHUR ST NW
905480-6955,E/B VAN NESS ST AT 37TH ST NW
912913-2552,I295 & 8 ST SE
902113-3348,ALABAMA AVE SE @ STANTON RD SE
273872-1728,3000 K ST NW
310133-8835,900 G ST NW
808108-6947,NORTH CAPITOL S/B @ GALLATIN NW
70816-12576,1227 I ST SE
806491-5579,2600 MARTIN LUTHER KING JR AVE SE
905694-2676,WISCONSIN AVE NW @ ALBEMARLE ST NW
901874-798,EAST CAPITOL ST @ 49TH ST NE
904036-3087,WISCONSIN AVE NW @ WOODLEY RD NW
901413-859,15TH ST NW @ G ST NW
912637-3797,W/B PINEY BRANCH PKWY @ 16TH ST NW
907417-1508,13TH ST AND FLORIDA AVE NW
51014-9531,215 K ST NE
243303-6432,1100 CT AVE NW
286480-1652,1800 MONTANA AVE NE
807953-6812,400 9TH ST NW
228921-7173,500 PARK RD NW
906043-727,GEORGIA AND GALLATIN ST NW
806180-5305,2300 MASSACHUSETTS AVE NW
242333-,1500 K ST NW
69589-11991,125 GALVESTON PL SW
294866-12167,1101 HOWARD RD SE
264422-2676,4500 BLK WISCONSIN AVE NW
901148-400,ALA AVE @ NAYLOR RD SE
813283-11421,2700 SHERMAN AVE NW
810440-8948,1700 6TH ST NW
802554-2254,900 HAMILTON ST NW
253219-468,6200 GEORGIA AVE NW
812031-10325,800 PA AVE NW
805613-4813,4300 NANNIE HELEN BURROUGHS AVE NE*
803159-2581,6100 EASTERN AVE NE
274046-,2400 VIRIGINIA AVE NW
812294-10559,2900 SHERMAN AVE NW
