location,address_id,streetsegid,xcoord,ycoord,lat,long,ticket_type,accident_indicator,agency_id,issue_date,issue_time,violation_code,violation_desc
1258 1ST ST NW,812389,10637,398944.84,137654.88,38.90675643718206,-77.01222377644324,MOVING,0,5,2016-02-25,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
RIGGS RD NE @ ROCK CREEK CHURCH RD*,904886,5638,399368.85999737,143029.72000216,38.95515900000001,-77.00733,MOVING,0,25,2016-02-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 NEW YORK AVE W/B NW,218682,10485,398254.2,137254.96,38.91205554760723,-76.99566961719479,MOVING,0,3,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1300 BLK H STREET NE,286021,10010,401030.77,136948.92,38.900394000000006,-76.9881195,MOVING,0,1,2016-02-10,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
U ST NW @ 13TH ST NW,904077,3894,397431.13999557,138792.73999823,38.91699000000001,-77.029623,MOVING,0,25,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
MOUNT OLIVET RD NE @ BLADENSBURG R*,907957,7431,401813.88681564,137653.94018917,38.906738999999995,-76.979052,MOVING,0,5,2016-02-22,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1600 COLUMBIA RD NW,807146,6123,396816.41,139837.27,38.92615780088224,-77.03694235383031,MOVING,0,3,2016-02-23,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2800 PORTER ST NW,813039,11214,395175.22,140861.92,38.93517026926782,-77.05462032724174,MOVING,0,60,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1000 NEW YORK AVE W/B NW,813022,11198,397721.74,137057.37,38.90130275776193,-77.0260359476695,MOVING,0,3,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
800 BLK RHODE ISLAND AVE NW,804573,3945,397965.84,138214.02,38.91181448135682,-77.0229884959714,MOVING,0,1,2016-02-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
